airport,country_code,latitude,longitude
gka,pg,-6.08169,145.39200
mag,pg,-5.20708,145.78900
hgu,pg,-5.82679,144.29601
lae,pg,-6.56980,146.72598
pom,pg,-9.44338,147.22000
wwk,pg,-3.58383,143.66901
uak,gl,61.16050,-45.42600
goh,gl,64.19090,-51.67810
sfj,gl,67.01222,-50.71160
thu,gl,76.53120,-68.70320
aey,is,65.66000,-18.07270
egs,is,65.28330,-14.40140
hfn,is,64.29560,-15.22720
hzk,is,65.95230,-17.42600
ifj,is,66.05810,-23.13530
kef,is,63.98500,-22.60560
pfj,is,65.55580,-23.96500
rkv,is,64.13000,-21.94060
sij,is,66.13330,-18.91670
vey,is,63.42430,-20.27890
yam,ca,46.48500,-84.50940
yav,ca,50.05640,-97.03250
yaw,ca,44.63970,-63.49940
yay,ca,51.39190,-56.08310
yaz,ca,49.07983,-125.77558
ybb,ca,68.53440,-89.80810
ybc,ca,49.13250,-68.20440
ybg,ca,48.33060,-70.99640
ybk,ca,64.29890,-96.07780
ybl,ca,49.95080,-125.27100
ybr,ca,49.91000,-99.95190
ycb,ca,69.10810,-105.13800
ycd,ca,49.05497,-123.86986
ycg,ca,49.29640,-117.63200
ych,ca,47.00780,-65.44920
ycl,ca,47.99080,-66.33030
yco,ca,67.81670,-115.14400
yct,ca,52.07500,-111.44500
ycw,ca,49.15280,-121.93900
ycy,ca,70.48610,-68.51670
yzs,ca,64.19330,-83.35940
yda,ca,64.04310,-139.12801
ydb,ca,61.37110,-139.04100
ydc,ca,49.46810,-120.51100
ydf,ca,49.21080,-57.39140
ydl,ca,58.42220,-130.03200
ydn,ca,51.10080,-100.05200
ydq,ca,55.74230,-120.18300
yeg,ca,53.30970,-113.58000
yek,ca,61.09420,-94.07080
yen,ca,49.21030,-102.96600
yet,ca,53.57890,-116.46500
yeu,ca,79.99470,-85.81420
yev,ca,68.30420,-133.48300
yfb,ca,63.75640,-68.55580
yfc,ca,45.86890,-66.53720
cyfe,ca,48.74610,-69.09720
yfo,ca,54.67810,-101.68200
yfr,ca,61.18080,-113.69000
yfs,ca,61.76020,-121.23700
ygk,ca,44.22530,-76.59690
ygl,ca,53.62530,-77.70420
ygp,ca,48.77530,-64.47860
ygq,ca,49.77830,-86.93940
ygr,ca,47.42470,-61.77810
yhb,ca,52.81670,-102.31100
yhd,ca,49.83170,-92.74420
yhi,ca,70.76280,-117.80600
yhk,ca,68.63560,-95.84970
yhm,ca,43.17360,-79.93500
yhu,ca,45.51750,-73.41690
yhy,ca,60.83970,-115.78300
yhz,ca,44.88080,-63.50860
yib,ca,48.77390,-91.63860
yio,ca,72.68330,-77.96670
yjn,ca,45.29440,-73.28110
yjt,ca,48.54420,-58.55000
yka,ca,50.70220,-120.44400
ykf,ca,43.46080,-80.37860
ykl,ca,54.80530,-66.80530
yky,ca,51.51750,-109.18100
ykz,ca,43.86220,-79.37000
