city_name,country_code,latitude,longitude
el_tarter,ad,42.57952,1.65362
sant_julia_de_loria,ad,42.46372,1.49129
pas_de_la_casa,ad,42.54277,1.73361
ordino,ad,42.55623,1.53319
les_escaldes,ad,42.50729,1.53414
la_massana,ad,42.54499,1.51483
encamp,ad,42.53474,1.58014
canillo,ad,42.56760,1.59756
arinsal,ad,42.57205,1.48453
andorra_la_vella,ad,42.50779,1.52109
umm_al_qaywayn,ae,25.56473,55.55517
ras_al_khaimah,ae,25.78953,55.94320
muzayri,ae,23.14355,53.78810
murbah,ae,25.27623,56.36256
khawr_fakkan,ae,25.33132,56.34199
dubai,ae,25.06570,55.17128
dibba_al_fujairah,ae,25.59246,56.26176
dibba_al_hisn,ae,25.61955,56.27291
sharjah,ae,25.33737,55.41206
ar_ruways,ae,24.11028,52.73056
al_fujayrah,ae,25.11641,56.34141
al_ain,ae,24.19167,55.76056
ajman,ae,25.41111,55.43504
adh_dhayd,ae,25.28812,55.88157
abu_dhabi,ae,24.46667,54.36667
zorkot,af,33.54149,69.73446
wuleswali_bihsud,af,34.34360,67.90567
kuhsan,af,34.65389,61.19778
lash,af,35.37820,64.77457
tukzar,af,35.94831,66.42132
miray,af,33.32462,68.44068
aq_kupruk,af,36.08352,66.84029
zurmat,af,33.43778,69.02774
zaybak,af,36.52947,71.34410
ziarat_e_shah_maqsud,af,31.98480,65.47360
zindah_jan,af,34.34264,61.74675
zarghun_shahr,af,32.84734,68.44573
zarah_sharan,af,33.14641,68.79213
zaranj,af,30.95962,61.86037
zamto_kelay,af,32.37260,66.17708
yangi_qal_ah,af,37.46572,69.61131
yahya_khel,af,32.93742,68.64622
washer,af,32.25122,63.85553
tormay,af,33.68847,68.40205
tulak,af,33.97509,63.72868
titan,af,33.69032,63.86361
tir_pul,af,34.59431,61.26895
taywarah,af,33.52118,64.42116
bazar_e_tashkan,af,36.88168,70.27674
tarinkot,af,32.62998,65.87806
taloqan,af,36.73605,69.53451
tagaw_bay,af,35.69941,66.06164
tagab,af,34.85501,69.64917
markaz_e_hukumat_e_sultan_e_bakwah,af,32.24139,62.94936
spin_boldak,af,31.00575,66.40001
sperah,af,33.20204,69.51520
sozmah_qal_ah,af,36.09916,66.20823
siyahgird,af,35.00553,68.85578
sheywah,af,34.57169,70.58859
shindand,af,33.30294,62.14740
shaykh_amir_kelay,af,33.28744,69.91283
qashqal,af,35.03975,69.00685
shibirghan,af,36.66757,65.75290
shwak,af,33.42386,69.37684
shahr_e_safa,af,31.80347,66.32376
shahran,af,36.97984,70.73928
shahrak,af,34.10737,64.30520
alaqahdari_shah_joy,af,32.52154,67.41315
wuleswali_sayyid_karam,af,33.69056,69.36881
markaz_e_sayyidabad,af,34.00037,68.71346
sayad,af,36.13529,65.82970
sidqabad,af,35.02298,69.35112
sayagaz,af,32.56521,67.03324
sar_e_tayghan,af,33.50998,65.67632
sarobi,af,34.58962,69.76005
sar_kani,af,34.79023,71.10962
sarfiraz_kala,af,32.98333,67.96517
sar_e_pul,af,36.21544,65.93249
sar_chakan,af,35.70177,65.23055
sangin,af,32.07275,64.83590
sang_e_mashah,af,33.13960,67.44046
sang_e_charak,af,35.84972,66.43694
